i r tft rl num fbm tom
93.0 0.0000 0.0000 0.1465 0.0015 0.4165 0.4356
94.0 0.0000 0.0000 0.1455 0.0014 0.4169 0.4362
95.0 0.0000 0.0000 0.1445 0.0013 0.4173 0.4369
96.0 0.0000 0.0000 0.1435 0.0012 0.4177 0.4376
97.0 0.0000 0.0000 0.1425 0.0012 0.4181 0.4382
98.0 0.0000 0.0000 0.1416 0.0011 0.4185 0.4388
99.0 0.0000 0.0000 0.1406 0.0010 0.4189 0.4395
100.0 0.0000 0.0000 0.1396 0.0010 0.4193 0.4401
101.0 0.0000 0.0000 0.1387 0.0009 0.4196 0.4407
102.0 0.0000 0.0000 0.1378 0.0009 0.4200 0.4413
103.0 0.0000 0.0000 0.1368 0.0008 0.4204 0.4420
104.0 0.0000 0.0000 0.1359 0.0008 0.4207 0.4426
105.0 0.0000 0.0000 0.1350 0.0007 0.4211 0.4432
106.0 0.0000 0.0000 0.1341 0.0007 0.4214 0.4438
107.0 0.0000 0.0000 0.1332 0.0006 0.4218 0.4444
108.0 0.0000 0.0000 0.1323 0.0006 0.4221 0.4450
109.0 0.0000 0.0000 0.1314 0.0006 0.4224 0.4455
110.0 0.0000 0.0000 0.1306 0.0005 0.4228 0.4461
111.0 0.0000 0.0000 0.1297 0.0005 0.4231 0.4467
112.0 0.0000 0.0000 0.1288 0.0005 0.4234 0.4473
113.0 0.0000 0.0000 0.1280 0.0005 0.4237 0.4478
114.0 0.0000 0.0000 0.1271 0.0004 0.4240 0.4484
115.0 0.0000 0.0000 0.1263 0.0004 0.4243 0.4490
116.0 0.0000 0.0000 0.1255 0.0004 0.4246 0.4495
117.0 0.0000 0.0000 0.1246 0.0004 0.4249 0.4501
118.0 0.0000 0.0000 0.1238 0.0003 0.4252 0.4506
119.0 0.0000 0.0000 0.1230 0.0003 0.4255 0.4512
120.0 0.0000 0.0000 0.1222 0.0003 0.4258 0.4517
121.0 0.0000 0.0000 0.1214 0.0003 0.4261 0.4523
122.0 0.0000 0.0000 0.1206 0.0003 0.4263 0.4528
123.0 0.0000 0.0000 0.1198 0.0003 0.4266 0.4533
124.0 0.0000 0.0000 0.1190 0.0002 0.4269 0.4539
125.0 0.0000 0.0000 0.1183 0.0002 0.4271 0.4544
126.0 0.0000 0.0000 0.1175 0.0002 0.4274 0.4549
127.0 0.0000 0.0000 0.1167 0.0002 0.4277 0.4554
128.0 0.0000 0.0000 0.1160 0.0002 0.4279 0.4559
129.0 0.0000 0.0000 0.1152 0.0002 0.4282 0.4565
130.0 0.0000 0.0000 0.1145 0.0002 0.4284 0.4570
131.0 0.0000 0.0000 0.1137 0.0002 0.4286 0.4575
132.0 0.0000 0.0000 0.1130 0.0002 0.4289 0.4580
133.0 0.0000 0.0000 0.1123 0.0001 0.4291 0.4585
134.0 0.0000 0.0000 0.1115 0.0001 0.4294 0.4590
135.0 0.0000 0.0000 0.1108 0.0001 0.4296 0.4595
136.0 0.0000 0.0000 0.1101 0.0001 0.4298 0.4600
137.0 0.0000 0.0000 0.1094 0.0001 0.4300 0.4605
138.0 0.0000 0.0000 0.1087 0.0001 0.4303 0.4609
139.0 0.0000 0.0000 0.1080 0.0001 0.4305 0.4614
140.0 0.0000 0.0000 0.1073 0.0001 0.4307 0.4619
