i r tft rl num fbm tom
93.0 0.0000 0.0062 0.1378 0.2886 0.2827 0.2847
94.0 0.0000 0.0060 0.1369 0.2890 0.2830 0.2851
95.0 0.0000 0.0058 0.1361 0.2894 0.2834 0.2854
96.0 0.0000 0.0055 0.1352 0.2898 0.2837 0.2858
97.0 0.0000 0.0053 0.1343 0.2902 0.2841 0.2861
98.0 0.0000 0.0051 0.1334 0.2906 0.2844 0.2865
99.0 0.0000 0.0049 0.1326 0.2910 0.2847 0.2868
100.0 0.0000 0.0047 0.1317 0.2914 0.2851 0.2872
101.0 0.0000 0.0045 0.1309 0.2917 0.2854 0.2875
102.0 0.0000 0.0044 0.1300 0.2921 0.2857 0.2878
103.0 0.0000 0.0042 0.1292 0.2925 0.2860 0.2881
104.0 0.0000 0.0040 0.1283 0.2928 0.2863 0.2885
105.0 0.0000 0.0039 0.1275 0.2932 0.2867 0.2888
106.0 0.0000 0.0037 0.1266 0.2936 0.2870 0.2891
107.0 0.0000 0.0036 0.1258 0.2939 0.2873 0.2894
108.0 0.0000 0.0034 0.1250 0.2943 0.2876 0.2897
109.0 0.0000 0.0033 0.1241 0.2946 0.2879 0.2900
110.0 0.0000 0.0032 0.1233 0.2950 0.2882 0.2904
111.0 0.0000 0.0031 0.1225 0.2953 0.2885 0.2907
112.0 0.0000 0.0029 0.1217 0.2957 0.2888 0.2910
113.0 0.0000 0.0028 0.1209 0.2960 0.2891 0.2912
114.0 0.0000 0.0027 0.1201 0.2964 0.2893 0.2915
115.0 0.0000 0.0026 0.1192 0.2967 0.2896 0.2918
116.0 0.0000 0.0025 0.1184 0.2970 0.2899 0.2921
117.0 0.0000 0.0024 0.1177 0.2973 0.2902 0.2924
118.0 0.0000 0.0023 0.1169 0.2977 0.2905 0.2927
119.0 0.0000 0.0022 0.1161 0.2980 0.2907 0.2930
120.0 0.0000 0.0021 0.1153 0.2983 0.2910 0.2932
121.0 0.0000 0.0021 0.1145 0.2986 0.2913 0.2935
122.0 0.0000 0.0020 0.1137 0.2989 0.2915 0.2938
123.0 0.0000 0.0019 0.1130 0.2993 0.2918 0.2941
124.0 0.0000 0.0018 0.1122 0.2996 0.2921 0.2943
125.0 0.0000 0.0017 0.1115 0.2999 0.2923 0.2946
126.0 0.0000 0.0017 0.1107 0.3002 0.2926 0.2949
127.0 0.0000 0.0016 0.1099 0.3005 0.2928 0.2951
128.0 0.0000 0.0016 0.1092 0.3008 0.2931 0.2954
129.0 0.0000 0.0015 0.1085 0.3011 0.2933 0.2956
130.0 0.0000 0.0014 0.1077 0.3014 0.2936 0.2959
131.0 0.0000 0.0014 0.1070 0.3017 0.2938 0.2961
132.0 0.0000 0.0013 0.1062 0.3019 0.2941 0.2964
133.0 0.0000 0.0013 0.1055 0.3022 0.2943 0.2966
134.0 0.0000 0.0012 0.1048 0.3025 0.2946 0.2969
135.0 0.0000 0.0012 0.1041 0.3028 0.2948 0.2971
136.0 0.0000 0.0011 0.1034 0.3031 0.2950 0.2974
137.0 0.0000 0.0011 0.1027 0.3034 0.2953 0.2976
138.0 0.0000 0.0010 0.1019 0.3036 0.2955 0.2979
139.0 0.0000 0.0010 0.1012 0.3039 0.2958 0.2981
140.0 0.0000 0.0010 0.1005 0.3042 0.2960 0.2983
141.0 0.0000 0.0009 0.0999 0.3045 0.2962 0.2986
142.0 0.0000 0.0009 0.0992 0.3047 0.2964 0.2988
143.0 0.0000 0.0009 0.0985 0.3050 0.2967 0.2990
144.0 0.0000 0.0008 0.0978 0.3052 0.2969 0.2993
145.0 0.0000 0.0008 0.0971 0.3055 0.2971 0.2995
146.0 0.0000 0.0008 0.0964 0.3058 0.2973 0.2997
147.0 0.0000 0.0007 0.0958 0.3060 0.2975 0.2999
148.0 0.0000 0.0007 0.0951 0.3063 0.2978 0.3001
149.0 0.0000 0.0007 0.0944 0.3065 0.2980 0.3004
150.0 0.0000 0.0006 0.0938 0.3068 0.2982 0.3006
151.0 0.0000 0.0006 0.0931 0.3070 0.2984 0.3008
152.0 0.0000 0.0006 0.0925 0.3073 0.2986 0.3010
153.0 0.0000 0.0006 0.0918 0.3075 0.2988 0.3012
154.0 0.0000 0.0005 0.0912 0.3078 0.2990 0.3014
155.0 0.0000 0.0005 0.0906 0.3080 0.2992 0.3016
156.0 0.0000 0.0005 0.0899 0.3083 0.2994 0.3019
157.0 0.0000 0.0005 0.0893 0.3085 0.2996 0.3021
158.0 0.0000 0.0005 0.0887 0.3088 0.2998 0.3023
159.0 0.0000 0.0004 0.0881 0.3090 0.3000 0.3025
160.0 0.0000 0.0004 0.0874 0.3092 0.3002 0.3027
161.0 0.0000 0.0004 0.0868 0.3095 0.3004 0.3029
162.0 0.0000 0.0004 0.0862 0.3097 0.3006 0.3031
163.0 0.0000 0.0004 0.0856 0.3099 0.3008 0.3033
164.0 0.0000 0.0004 0.0850 0.3101 0.3010 0.3035
165.0 0.0000 0.0004 0.0844 0.3104 0.3012 0.3037
166.0 0.0000 0.0003 0.0838 0.3106 0.3014 0.3039
167.0 0.0000 0.0003 0.0832 0.3108 0.3016 0.3040
168.0 0.0000 0.0003 0.0826 0.3110 0.3018 0.3042
169.0 0.0000 0.0003 0.0821 0.3113 0.3019 0.3044
170.0 0.0000 0.0003 0.0815 0.3115 0.3021 0.3046
171.0 0.0000 0.0003 0.0809 0.3117 0.3023 0.3048
172.0 0.0000 0.0003 0.0803 0.3119 0.3025 0.3050
173.0 0.0000 0.0003 0.0798 0.3121 0.3027 0.3052
174.0 0.0000 0.0002 0.0792 0.3124 0.3028 0.3054
175.0 0.0000 0.0002 0.0786 0.3126 0.3030 0.3055
176.0 0.0000 0.0002 0.0781 0.3128 0.3032 0.3057
177.0 0.0000 0.0002 0.0775 0.3130 0.3034 0.3059
178.0 0.0000 0.0002 0.0770 0.3132 0.3036 0.3061
179.0 0.0000 0.0002 0.0764 0.3134 0.3037 0.3062
180.0 0.0000 0.0002 0.0759 0.3136 0.3039 0.3064
181.0 0.0000 0.0002 0.0753 0.3138 0.3041 0.3066
182.0 0.0000 0.0002 0.0748 0.3140 0.3042 0.3068
183.0 0.0000 0.0002 0.0743 0.3142 0.3044 0.3069
184.0 0.0000 0.0002 0.0737 0.3144 0.3046 0.3071
185.0 0.0000 0.0002 0.0732 0.3146 0.3047 0.3073
186.0 0.0000 0.0002 0.0727 0.3148 0.3049 0.3075
187.0 0.0000 0.0001 0.0722 0.3150 0.3051 0.3076
188.0 0.0000 0.0001 0.0717 0.3152 0.3052 0.3078
189.0 0.0000 0.0001 0.0712 0.3154 0.3054 0.3079
190.0 0.0000 0.0001 0.0706 0.3156 0.3055 0.3081
191.0 0.0000 0.0001 0.0701 0.3158 0.3057 0.3083
192.0 0.0000 0.0001 0.0696 0.3159 0.3059 0.3084
193.0 0.0000 0.0001 0.0691 0.3161 0.3060 0.3086
194.0 0.0000 0.0001 0.0686 0.3163 0.3062 0.3088
195.0 0.0000 0.0001 0.0682 0.3165 0.3063 0.3089
196.0 0.0000 0.0001 0.0677 0.3167 0.3065 0.3091
197.0 0.0000 0.0001 0.0672 0.3169 0.3066 0.3092
198.0 0.0000 0.0001 0.0667 0.3171 0.3068 0.3094
199.0 0.0000 0.0001 0.0662 0.3172 0.3069 0.3095
200.0 0.0000 0.0001 0.0657 0.3174 0.3071 0.3097
201.0 0.0000 0.0001 0.0653 0.3176 0.3072 0.3098
202.0 0.0000 0.0001 0.0648 0.3178 0.3074 0.3100
203.0 0.0000 0.0001 0.0643 0.3179 0.3075 0.3101
204.0 0.0000 0.0001 0.0639 0.3181 0.3077 0.3103
205.0 0.0000 0.0001 0.0634 0.3183 0.3078 0.3104
206.0 0.0000 0.0001 0.0630 0.3185 0.3080 0.3106
207.0 0.0000 0.0001 0.0625 0.3186 0.3081 0.3107
208.0 0.0000 0.0001 0.0620 0.3188 0.3082 0.3109
209.0 0.0000 0.0001 0.0616 0.3190 0.3084 0.3110
210.0 0.0000 0.0001 0.0612 0.3191 0.3085 0.3111
211.0 0.0000 0.0001 0.0607 0.3193 0.3086 0.3113
212.0 0.0000 0.0001 0.0603 0.3195 0.3088 0.3114
213.0 0.0000 0.0001 0.0598 0.3196 0.3089 0.3116
214.0 0.0000 0.0000 0.0594 0.3198 0.3091 0.3117
215.0 0.0000 0.0000 0.0590 0.3199 0.3092 0.3118
216.0 0.0000 0.0000 0.0586 0.3201 0.3093 0.3120
217.0 0.0000 0.0000 0.0581 0.3203 0.3095 0.3121
218.0 0.0000 0.0000 0.0577 0.3204 0.3096 0.3122
219.0 0.0000 0.0000 0.0573 0.3206 0.3097 0.3124
220.0 0.0000 0.0000 0.0569 0.3207 0.3098 0.3125
221.0 0.0000 0.0000 0.0565 0.3209 0.3100 0.3126
222.0 0.0000 0.0000 0.0560 0.3210 0.3101 0.3128
223.0 0.0000 0.0000 0.0556 0.3212 0.3102 0.3129
224.0 0.0000 0.0000 0.0552 0.3213 0.3104 0.3130
225.0 0.0000 0.0000 0.0548 0.3215 0.3105 0.3132
226.0 0.0000 0.0000 0.0544 0.3216 0.3106 0.3133
227.0 0.0000 0.0000 0.0540 0.3218 0.3107 0.3134
228.0 0.0000 0.0000 0.0536 0.3219 0.3109 0.3135
229.0 0.0000 0.0000 0.0533 0.3221 0.3110 0.3137
230.0 0.0000 0.0000 0.0529 0.3222 0.3111 0.3138
231.0 0.0000 0.0000 0.0525 0.3224 0.3112 0.3139
232.0 0.0000 0.0000 0.0521 0.3225 0.3113 0.3140
233.0 0.0000 0.0000 0.0517 0.3227 0.3115 0.3142
234.0 0.0000 0.0000 0.0513 0.3228 0.3116 0.3143
235.0 0.0000 0.0000 0.0510 0.3229 0.3117 0.3144
236.0 0.0000 0.0000 0.0506 0.3231 0.3118 0.3145
237.0 0.0000 0.0000 0.0502 0.3232 0.3119 0.3146
238.0 0.0000 0.0000 0.0499 0.3233 0.3120 0.3147
239.0 0.0000 0.0000 0.0495 0.3235 0.3121 0.3149
240.0 0.0000 0.0000 0.0491 0.3236 0.3123 0.3150
241.0 0.0000 0.0000 0.0488 0.3238 0.3124 0.3151
242.0 0.0000 0.0000 0.0484 0.3239 0.3125 0.3152
243.0 0.0000 0.0000 0.0481 0.3240 0.3126 0.3153
244.0 0.0000 0.0000 0.0477 0.3242 0.3127 0.3154
245.0 0.0000 0.0000 0.0474 0.3243 0.3128 0.3155
246.0 0.0000 0.0000 0.0470 0.3244 0.3129 0.3156
247.0 0.0000 0.0000 0.0467 0.3245 0.3130 0.3158
248.0 0.0000 0.0000 0.0463 0.3247 0.3131 0.3159
249.0 0.0000 0.0000 0.0460 0.3248 0.3132 0.3160
