i r tft rl num fbm tom
93.0 0.0000 0.0000 0.0000 0.0004 0.2859 0.7136
94.0 0.0000 0.0000 0.0000 0.0004 0.2845 0.7151
95.0 0.0000 0.0000 0.0000 0.0004 0.2831 0.7165
96.0 0.0000 0.0000 0.0000 0.0004 0.2816 0.7180
97.0 0.0000 0.0000 0.0000 0.0003 0.2802 0.7195
98.0 0.0000 0.0000 0.0000 0.0003 0.2788 0.7209
99.0 0.0000 0.0000 0.0000 0.0003 0.2774 0.7223
100.0 0.0000 0.0000 0.0000 0.0003 0.2760 0.7238
101.0 0.0000 0.0000 0.0000 0.0002 0.2745 0.7252
102.0 0.0000 0.0000 0.0000 0.0002 0.2731 0.7266
103.0 0.0000 0.0000 0.0000 0.0002 0.2717 0.7281
104.0 0.0000 0.0000 0.0000 0.0002 0.2703 0.7295
105.0 0.0000 0.0000 0.0000 0.0002 0.2689 0.7309
106.0 0.0000 0.0000 0.0000 0.0002 0.2675 0.7323
107.0 0.0000 0.0000 0.0000 0.0001 0.2661 0.7337
108.0 0.0000 0.0000 0.0000 0.0001 0.2647 0.7351
109.0 0.0000 0.0000 0.0000 0.0001 0.2633 0.7365
110.0 0.0000 0.0000 0.0000 0.0001 0.2620 0.7379
111.0 0.0000 0.0000 0.0000 0.0001 0.2606 0.7393
112.0 0.0000 0.0000 0.0000 0.0001 0.2592 0.7407
113.0 0.0000 0.0000 0.0000 0.0001 0.2578 0.7421
114.0 0.0000 0.0000 0.0000 0.0001 0.2565 0.7435
115.0 0.0000 0.0000 0.0000 0.0001 0.2551 0.7448
116.0 0.0000 0.0000 0.0000 0.0001 0.2537 0.7462
117.0 0.0000 0.0000 0.0000 0.0001 0.2524 0.7476
118.0 0.0000 0.0000 0.0000 0.0001 0.2510 0.7489
119.0 0.0000 0.0000 0.0000 0.0001 0.2497 0.7503
120.0 0.0000 0.0000 0.0000 0.0001 0.2483 0.7516
121.0 0.0000 0.0000 0.0000 0.0001 0.2470 0.7530
122.0 0.0000 0.0000 0.0000 0.0000 0.2456 0.7543
123.0 0.0000 0.0000 0.0000 0.0000 0.2443 0.7557
124.0 0.0000 0.0000 0.0000 0.0000 0.2430 0.7570
125.0 0.0000 0.0000 0.0000 0.0000 0.2416 0.7583
126.0 0.0000 0.0000 0.0000 0.0000 0.2403 0.7597
127.0 0.0000 0.0000 0.0000 0.0000 0.2390 0.7610
128.0 0.0000 0.0000 0.0000 0.0000 0.2377 0.7623
129.0 0.0000 0.0000 0.0000 0.0000 0.2364 0.7636
130.0 0.0000 0.0000 0.0000 0.0000 0.2350 0.7649
131.0 0.0000 0.0000 0.0000 0.0000 0.2337 0.7662
132.0 0.0000 0.0000 0.0000 0.0000 0.2324 0.7675
133.0 0.0000 0.0000 0.0000 0.0000 0.2311 0.7688
134.0 0.0000 0.0000 0.0000 0.0000 0.2298 0.7701
135.0 0.0000 0.0000 0.0000 0.0000 0.2286 0.7714
136.0 0.0000 0.0000 0.0000 0.0000 0.2273 0.7727
137.0 0.0000 0.0000 0.0000 0.0000 0.2260 0.7740
138.0 0.0000 0.0000 0.0000 0.0000 0.2247 0.7753
139.0 0.0000 0.0000 0.0000 0.0000 0.2234 0.7765
140.0 0.0000 0.0000 0.0000 0.0000 0.2222 0.7778
141.0 0.0000 0.0000 0.0000 0.0000 0.2209 0.7791
142.0 0.0000 0.0000 0.0000 0.0000 0.2197 0.7803
