i r tft rl num fbm tom
93.0 0.0000 0.0000 0.0000 0.0020 0.4953 0.5027
94.0 0.0000 0.0000 0.0000 0.0019 0.4953 0.5028
95.0 0.0000 0.0000 0.0000 0.0017 0.4953 0.5029
96.0 0.0000 0.0000 0.0000 0.0016 0.4953 0.5030
97.0 0.0000 0.0000 0.0000 0.0016 0.4953 0.5031
98.0 0.0000 0.0000 0.0000 0.0015 0.4953 0.5032
99.0 0.0000 0.0000 0.0000 0.0014 0.4953 0.5033
100.0 0.0000 0.0000 0.0000 0.0013 0.4953 0.5034
101.0 0.0000 0.0000 0.0000 0.0012 0.4952 0.5035
102.0 0.0000 0.0000 0.0000 0.0012 0.4952 0.5036
103.0 0.0000 0.0000 0.0000 0.0011 0.4952 0.5037
104.0 0.0000 0.0000 0.0000 0.0010 0.4952 0.5038
105.0 0.0000 0.0000 0.0000 0.0010 0.4952 0.5039
106.0 0.0000 0.0000 0.0000 0.0009 0.4951 0.5040
107.0 0.0000 0.0000 0.0000 0.0009 0.4951 0.5040
108.0 0.0000 0.0000 0.0000 0.0008 0.4951 0.5041
109.0 0.0000 0.0000 0.0000 0.0008 0.4950 0.5042
110.0 0.0000 0.0000 0.0000 0.0007 0.4950 0.5043
111.0 0.0000 0.0000 0.0000 0.0007 0.4950 0.5043
112.0 0.0000 0.0000 0.0000 0.0006 0.4949 0.5044
113.0 0.0000 0.0000 0.0000 0.0006 0.4949 0.5045
114.0 0.0000 0.0000 0.0000 0.0006 0.4949 0.5046
115.0 0.0000 0.0000 0.0000 0.0005 0.4948 0.5046
116.0 0.0000 0.0000 0.0000 0.0005 0.4948 0.5047
117.0 0.0000 0.0000 0.0000 0.0005 0.4947 0.5048
118.0 0.0000 0.0000 0.0000 0.0005 0.4947 0.5048
119.0 0.0000 0.0000 0.0000 0.0004 0.4947 0.5049
120.0 0.0000 0.0000 0.0000 0.0004 0.4946 0.5050
121.0 0.0000 0.0000 0.0000 0.0004 0.4946 0.5050
122.0 0.0000 0.0000 0.0000 0.0004 0.4945 0.5051
123.0 0.0000 0.0000 0.0000 0.0003 0.4945 0.5052
124.0 0.0000 0.0000 0.0000 0.0003 0.4944 0.5052
125.0 0.0000 0.0000 0.0000 0.0003 0.4944 0.5053
126.0 0.0000 0.0000 0.0000 0.0003 0.4943 0.5054
127.0 0.0000 0.0000 0.0000 0.0003 0.4943 0.5054
128.0 0.0000 0.0000 0.0000 0.0003 0.4943 0.5055
129.0 0.0000 0.0000 0.0000 0.0002 0.4942 0.5056
130.0 0.0000 0.0000 0.0000 0.0002 0.4942 0.5056
131.0 0.0000 0.0000 0.0000 0.0002 0.4941 0.5057
