i r tft rl num fbm tom
93.0 0.0000 0.0000 0.9643 0.0000 0.0002 0.0354
94.0 0.0000 0.0000 0.9655 0.0000 0.0002 0.0342
95.0 0.0000 0.0000 0.9667 0.0000 0.0002 0.0331
96.0 0.0000 0.0000 0.9679 0.0000 0.0002 0.0319
97.0 0.0000 0.0000 0.9690 0.0000 0.0002 0.0309
98.0 0.0000 0.0000 0.9700 0.0000 0.0001 0.0298
99.0 0.0000 0.0000 0.9710 0.0000 0.0001 0.0288
100.0 0.0000 0.0000 0.9720 0.0000 0.0001 0.0278
101.0 0.0000 0.0000 0.9730 0.0000 0.0001 0.0269
102.0 0.0000 0.0000 0.9739 0.0000 0.0001 0.0260
103.0 0.0000 0.0000 0.9748 0.0000 0.0001 0.0251
104.0 0.0000 0.0000 0.9757 0.0000 0.0001 0.0242
105.0 0.0000 0.0000 0.9765 0.0000 0.0001 0.0234
106.0 0.0000 0.0000 0.9773 0.0000 0.0001 0.0226
107.0 0.0000 0.0000 0.9781 0.0000 0.0001 0.0218
108.0 0.0000 0.0000 0.9788 0.0000 0.0001 0.0211
109.0 0.0000 0.0000 0.9796 0.0000 0.0001 0.0204
110.0 0.0000 0.0000 0.9803 0.0000 0.0001 0.0197
111.0 0.0000 0.0000 0.9810 0.0000 0.0001 0.0190
112.0 0.0000 0.0000 0.9816 0.0000 0.0000 0.0183
113.0 0.0000 0.0000 0.9822 0.0000 0.0000 0.0177
114.0 0.0000 0.0000 0.9828 0.0000 0.0000 0.0171
115.0 0.0000 0.0000 0.9834 0.0000 0.0000 0.0165
116.0 0.0000 0.0000 0.9840 0.0000 0.0000 0.0160
117.0 0.0000 0.0000 0.9846 0.0000 0.0000 0.0154
118.0 0.0000 0.0000 0.9851 0.0000 0.0000 0.0149
119.0 0.0000 0.0000 0.9856 0.0000 0.0000 0.0144
120.0 0.0000 0.0000 0.9861 0.0000 0.0000 0.0139
121.0 0.0000 0.0000 0.9866 0.0000 0.0000 0.0134
122.0 0.0000 0.0000 0.9870 0.0000 0.0000 0.0129
123.0 0.0000 0.0000 0.9875 0.0000 0.0000 0.0125
124.0 0.0000 0.0000 0.9879 0.0000 0.0000 0.0121
125.0 0.0000 0.0000 0.9883 0.0000 0.0000 0.0117
126.0 0.0000 0.0000 0.9887 0.0000 0.0000 0.0113
127.0 0.0000 0.0000 0.9891 0.0000 0.0000 0.0109
128.0 0.0000 0.0000 0.9895 0.0000 0.0000 0.0105
129.0 0.0000 0.0000 0.9899 0.0000 0.0000 0.0101
130.0 0.0000 0.0000 0.9902 0.0000 0.0000 0.0098
131.0 0.0000 0.0000 0.9905 0.0000 0.0000 0.0094
132.0 0.0000 0.0000 0.9909 0.0000 0.0000 0.0091
133.0 0.0000 0.0000 0.9912 0.0000 0.0000 0.0088
134.0 0.0000 0.0000 0.9915 0.0000 0.0000 0.0085
135.0 0.0000 0.0000 0.9918 0.0000 0.0000 0.0082
136.0 0.0000 0.0000 0.9921 0.0000 0.0000 0.0079
137.0 0.0000 0.0000 0.9923 0.0000 0.0000 0.0077
138.0 0.0000 0.0000 0.9926 0.0000 0.0000 0.0074
139.0 0.0000 0.0000 0.9929 0.0000 0.0000 0.0071
140.0 0.0000 0.0000 0.9931 0.0000 0.0000 0.0069
141.0 0.0000 0.0000 0.9933 0.0000 0.0000 0.0067
142.0 0.0000 0.0000 0.9936 0.0000 0.0000 0.0064
143.0 0.0000 0.0000 0.9938 0.0000 0.0000 0.0062
144.0 0.0000 0.0000 0.9940 0.0000 0.0000 0.0060
