i r tft num fbm rl tom
93.0 0.0000 0.0000 0.0015 0.4213 0.1412 0.4360
94.0 0.0000 0.0000 0.0014 0.4217 0.1402 0.4367
95.0 0.0000 0.0000 0.0013 0.4222 0.1392 0.4373
96.0 0.0000 0.0000 0.0012 0.4227 0.1381 0.4380
97.0 0.0000 0.0000 0.0012 0.4231 0.1371 0.4386
98.0 0.0000 0.0000 0.0011 0.4236 0.1361 0.4392
99.0 0.0000 0.0000 0.0010 0.4240 0.1351 0.4398
100.0 0.0000 0.0000 0.0010 0.4244 0.1341 0.4404
101.0 0.0000 0.0000 0.0009 0.4249 0.1332 0.4410
102.0 0.0000 0.0000 0.0009 0.4253 0.1322 0.4416
103.0 0.0000 0.0000 0.0008 0.4257 0.1312 0.4422
104.0 0.0000 0.0000 0.0008 0.4261 0.1303 0.4428
105.0 0.0000 0.0000 0.0007 0.4265 0.1293 0.4434
106.0 0.0000 0.0000 0.0007 0.4269 0.1284 0.4440
107.0 0.0000 0.0000 0.0006 0.4273 0.1274 0.4446
108.0 0.0000 0.0000 0.0006 0.4277 0.1265 0.4451
109.0 0.0000 0.0000 0.0006 0.4281 0.1256 0.4457
110.0 0.0000 0.0000 0.0005 0.4285 0.1247 0.4463
111.0 0.0000 0.0000 0.0005 0.4289 0.1238 0.4468
112.0 0.0000 0.0000 0.0005 0.4293 0.1229 0.4474
113.0 0.0000 0.0000 0.0005 0.4296 0.1220 0.4479
114.0 0.0000 0.0000 0.0004 0.4300 0.1211 0.4485
115.0 0.0000 0.0000 0.0004 0.4303 0.1203 0.4490
116.0 0.0000 0.0000 0.0004 0.4307 0.1194 0.4495
117.0 0.0000 0.0000 0.0004 0.4311 0.1185 0.4501
118.0 0.0000 0.0000 0.0003 0.4314 0.1177 0.4506
119.0 0.0000 0.0000 0.0003 0.4317 0.1168 0.4511
120.0 0.0000 0.0000 0.0003 0.4321 0.1160 0.4516
121.0 0.0000 0.0000 0.0003 0.4324 0.1152 0.4521
122.0 0.0000 0.0000 0.0003 0.4327 0.1143 0.4526
123.0 0.0000 0.0000 0.0003 0.4331 0.1135 0.4531
124.0 0.0000 0.0000 0.0002 0.4334 0.1127 0.4536
125.0 0.0000 0.0000 0.0002 0.4337 0.1119 0.4541
126.0 0.0000 0.0000 0.0002 0.4340 0.1111 0.4546
127.0 0.0000 0.0000 0.0002 0.4343 0.1103 0.4551
128.0 0.0000 0.0000 0.0002 0.4347 0.1095 0.4556
129.0 0.0000 0.0000 0.0002 0.4350 0.1088 0.4561
