i r tft num fbm rl tom
93.0 0.0000 0.0068 0.2864 0.2836 0.1444 0.2788
94.0 0.0000 0.0066 0.2867 0.2839 0.1436 0.2791
95.0 0.0000 0.0063 0.2871 0.2843 0.1428 0.2795
96.0 0.0000 0.0061 0.2875 0.2847 0.1419 0.2798
97.0 0.0000 0.0059 0.2879 0.2850 0.1411 0.2801
98.0 0.0000 0.0056 0.2883 0.2853 0.1403 0.2804
99.0 0.0000 0.0054 0.2887 0.2857 0.1395 0.2808
100.0 0.0000 0.0052 0.2890 0.2860 0.1386 0.2811
101.0 0.0000 0.0050 0.2894 0.2864 0.1378 0.2814
102.0 0.0000 0.0048 0.2898 0.2867 0.1370 0.2817
103.0 0.0000 0.0047 0.2901 0.2870 0.1362 0.2820
104.0 0.0000 0.0045 0.2905 0.2873 0.1354 0.2823
105.0 0.0000 0.0043 0.2909 0.2877 0.1346 0.2826
106.0 0.0000 0.0041 0.2912 0.2880 0.1338 0.2829
107.0 0.0000 0.0040 0.2916 0.2883 0.1330 0.2832
108.0 0.0000 0.0038 0.2919 0.2886 0.1322 0.2835
109.0 0.0000 0.0037 0.2923 0.2889 0.1314 0.2838
110.0 0.0000 0.0035 0.2926 0.2892 0.1306 0.2840
111.0 0.0000 0.0034 0.2929 0.2895 0.1298 0.2843
112.0 0.0000 0.0033 0.2933 0.2898 0.1290 0.2846
113.0 0.0000 0.0032 0.2936 0.2901 0.1282 0.2849
114.0 0.0000 0.0030 0.2939 0.2904 0.1275 0.2852
115.0 0.0000 0.0029 0.2942 0.2907 0.1267 0.2854
116.0 0.0000 0.0028 0.2946 0.2910 0.1259 0.2857
117.0 0.0000 0.0027 0.2949 0.2913 0.1252 0.2860
118.0 0.0000 0.0026 0.2952 0.2916 0.1244 0.2862
119.0 0.0000 0.0025 0.2955 0.2919 0.1236 0.2865
120.0 0.0000 0.0024 0.2958 0.2921 0.1229 0.2867
121.0 0.0000 0.0023 0.2961 0.2924 0.1221 0.2870
122.0 0.0000 0.0022 0.2964 0.2927 0.1214 0.2873
123.0 0.0000 0.0021 0.2967 0.2930 0.1206 0.2875
124.0 0.0000 0.0021 0.2970 0.2932 0.1199 0.2878
125.0 0.0000 0.0020 0.2973 0.2935 0.1192 0.2880
126.0 0.0000 0.0019 0.2976 0.2938 0.1184 0.2883
127.0 0.0000 0.0018 0.2979 0.2940 0.1177 0.2885
128.0 0.0000 0.0018 0.2982 0.2943 0.1170 0.2887
129.0 0.0000 0.0017 0.2985 0.2946 0.1162 0.2890
130.0 0.0000 0.0016 0.2988 0.2948 0.1155 0.2892
131.0 0.0000 0.0016 0.2991 0.2951 0.1148 0.2895
132.0 0.0000 0.0015 0.2994 0.2953 0.1141 0.2897
133.0 0.0000 0.0014 0.2997 0.2956 0.1134 0.2899
134.0 0.0000 0.0014 0.2999 0.2958 0.1127 0.2901
135.0 0.0000 0.0013 0.3002 0.2961 0.1120 0.2904
136.0 0.0000 0.0013 0.3005 0.2963 0.1113 0.2906
137.0 0.0000 0.0012 0.3008 0.2966 0.1106 0.2908
138.0 0.0000 0.0012 0.3010 0.2968 0.1099 0.2911
139.0 0.0000 0.0011 0.3013 0.2971 0.1092 0.2913
140.0 0.0000 0.0011 0.3016 0.2973 0.1085 0.2915
141.0 0.0000 0.0011 0.3018 0.2975 0.1079 0.2917
142.0 0.0000 0.0010 0.3021 0.2978 0.1072 0.2919
143.0 0.0000 0.0010 0.3024 0.2980 0.1065 0.2921
144.0 0.0000 0.0009 0.3026 0.2982 0.1058 0.2924
145.0 0.0000 0.0009 0.3029 0.2985 0.1052 0.2926
146.0 0.0000 0.0009 0.3031 0.2987 0.1045 0.2928
