i r tft num fbm rl tom
93.0 0.0000 0.0000 0.0000 0.0001 0.9465 0.0534
94.0 0.0000 0.0000 0.0000 0.0001 0.9480 0.0519
95.0 0.0000 0.0000 0.0000 0.0001 0.9494 0.0505
96.0 0.0000 0.0000 0.0000 0.0001 0.9508 0.0491
97.0 0.0000 0.0000 0.0000 0.0001 0.9521 0.0478
98.0 0.0000 0.0000 0.0000 0.0001 0.9534 0.0465
99.0 0.0000 0.0000 0.0000 0.0001 0.9547 0.0452
100.0 0.0000 0.0000 0.0000 0.0001 0.9559 0.0440
101.0 0.0000 0.0000 0.0000 0.0001 0.9571 0.0428
102.0 0.0000 0.0000 0.0000 0.0001 0.9583 0.0416
103.0 0.0000 0.0000 0.0000 0.0001 0.9594 0.0405
104.0 0.0000 0.0000 0.0000 0.0000 0.9605 0.0394
105.0 0.0000 0.0000 0.0000 0.0000 0.9616 0.0383
106.0 0.0000 0.0000 0.0000 0.0000 0.9627 0.0373
107.0 0.0000 0.0000 0.0000 0.0000 0.9637 0.0363
108.0 0.0000 0.0000 0.0000 0.0000 0.9647 0.0353
109.0 0.0000 0.0000 0.0000 0.0000 0.9656 0.0343
110.0 0.0000 0.0000 0.0000 0.0000 0.9666 0.0334
111.0 0.0000 0.0000 0.0000 0.0000 0.9675 0.0325
112.0 0.0000 0.0000 0.0000 0.0000 0.9684 0.0316
113.0 0.0000 0.0000 0.0000 0.0000 0.9692 0.0307
114.0 0.0000 0.0000 0.0000 0.0000 0.9701 0.0299
115.0 0.0000 0.0000 0.0000 0.0000 0.9709 0.0291
116.0 0.0000 0.0000 0.0000 0.0000 0.9717 0.0283
117.0 0.0000 0.0000 0.0000 0.0000 0.9725 0.0275
118.0 0.0000 0.0000 0.0000 0.0000 0.9732 0.0268
119.0 0.0000 0.0000 0.0000 0.0000 0.9739 0.0260
120.0 0.0000 0.0000 0.0000 0.0000 0.9747 0.0253
121.0 0.0000 0.0000 0.0000 0.0000 0.9753 0.0246
122.0 0.0000 0.0000 0.0000 0.0000 0.9760 0.0240
123.0 0.0000 0.0000 0.0000 0.0000 0.9767 0.0233
124.0 0.0000 0.0000 0.0000 0.0000 0.9773 0.0227
125.0 0.0000 0.0000 0.0000 0.0000 0.9779 0.0221
126.0 0.0000 0.0000 0.0000 0.0000 0.9785 0.0215
127.0 0.0000 0.0000 0.0000 0.0000 0.9791 0.0209
128.0 0.0000 0.0000 0.0000 0.0000 0.9797 0.0203
129.0 0.0000 0.0000 0.0000 0.0000 0.9802 0.0197
